id,loss
131822,176.71015615349597
131823,2353.8248607306637
131824,3661.7511312040274
131825,1400.4485412332888
131826,3545.2710742982363
131827,4053.381954103707
131828,-90.02687762782762
131829,3955.1376606105155
131830,3496.4295975682394
131831,4243.294768640554
131832,1999.0480454938595
131833,2023.0017848992866
131834,968.0903085457112
131835,1023.6750654038096
131836,1356.739021272132
131837,5378.472486949708
131838,3258.0882032831323
131839,1069.4968576348401
131840,2729.162475038759
131841,2246.8683044963764
131842,5824.634998665793
131843,3627.510740345919
131844,5650.507857442114
131845,3603.931461835971
131846,11309.309015078208
131847,717.1016714525513
131848,5101.0648238173835
131849,3380.377072308271
131850,2756.1667027748636
131851,1639.3838421667012
131852,607.1043856936017
131853,1794.5537467653824
131854,1967.5546392318452
131855,4587.70374173558
131856,3076.6698629779644
131857,2625.0561573521227
131858,6393.3016395601935
131859,387.1451760940681
131860,4105.479125825206
131861,2081.4379052811405
131862,2243.759963685293
131863,666.6259129332516
131864,4338.403784214523
131865,1947.7602050447729
131866,3841.2638656917443
131867,2242.9698868337523
131868,1745.6866162803642
131869,3750.2445936048593
131870,2558.1006193781664
131871,8288.71959774507
131872,1666.3681911477947
131873,3653.8176509572822
131874,3035.760023466753
131875,2007.7008907255642
131876,2392.802490877337
131877,8849.610688269357
131878,3209.044083136696
131879,2287.900178891478
131880,3954.8653653571496
131881,2031.3749443817114
131882,2374.40350758147
131883,2845.322591481483
131884,2307.900003652026
131885,3388.5068022238365
131886,2464.7390781558734
131887,961.5283869913264
131888,6580.329560594695
131889,7300.524741521518
131890,-659.4344336516324
131891,2632.810934957225
131892,2744.904247321871
131893,927.3301436846305
131894,3684.8567616014925
131895,4116.988105544404
131896,5917.343428937209
131897,2779.809517940137
131898,1318.8071594170115
131899,1995.1957925155216
131900,4934.406800231249
131901,5287.857510846177
131902,2464.3529473686895
131903,5842.082564478011
131904,3287.006266867164
131905,815.0357738188013
131906,2901.460332077935
131907,1762.7129719158568
131908,-512.9842640164561
131909,3297.326983393247
131910,5184.4003982767
131911,2980.332266694356
131912,418.2470083494395
131913,940.7890961812677
131914,2468.043365303053
131915,3781.830451443847
131916,3246.6856097041864
131917,1545.8890463478094
131918,4372.158272780042
131919,2076.359141105853
131920,1304.80535301599
131921,6196.7438623806365
131922,1777.2117420341442
131923,4667.067053771531
131924,1915.7484872713037
131925,2801.900294843848
131926,2974.5385647803123
131927,2689.557260238462
131928,3482.303094999765
131929,12915.444392135034
131930,7030.33192594552
131931,4431.511179298901
131932,2240.095993644968
131933,5546.810026277835
131934,91.74533261473835
131935,-222.6984023427317
131936,3222.3649738715962
131937,3328.3926567142144
131938,3357.565376940144
131939,1005.3551201337596
131940,2649.272056308558
131941,2619.1726717954243
131942,3240.9674701940617
131943,2239.1158984338954
131944,2194.426577016232
131945,1814.1246314850896
131946,7701.518569722752
131947,7345.450289918928
131948,4265.858219552852
131949,5182.528451609912
131950,4831.76283650752
131951,4221.460881452176
131952,364.9292389038151
131953,1914.17700093093
131954,2721.017812047429
131955,2624.178787017624
131956,2077.9770885382304
131957,488.4541662436354
131958,3259.003141808236
131959,2222.4234990072764
131960,10830.782326521836
131961,4348.6103797016885
131962,3593.9959508650213
131963,4446.744442063959
131964,6159.10245315342
131965,2436.66448833901
131966,2088.472637894014
131967,3305.9555650145294
131968,2908.7918720517423
131969,2790.38195615994
131970,4399.770234955775
131971,5464.300821031278
131972,1200.5811062360299
131973,1.3202002702741993
131974,2964.028681443352
131975,2630.406708456885
131976,5671.279044166849
131977,2079.161052664709
131978,1884.921237594328
131979,3678.4309337195978
131980,3352.154821170545
131981,1762.7829311369874
131982,1707.2271031448768
131983,1433.0848266866305
131984,3120.775313105721
131985,3603.235231195301
131986,3058.475948946501
131987,2268.4122109885
131988,1695.5241324012534
131989,2091.960393321455
131990,899.0055340866229
131991,-242.39332591307357
131992,3640.6916880530025
131993,2979.0298868765303
131994,-41.991075326918235
131995,4447.07221048482
131996,964.1592697190335
131997,1441.804474621058
131998,972.7732483389968
131999,3949.342687922032
132000,1470.252176257508
132001,5922.002697365895
132002,2243.96545287737
132003,3701.154125158711
132004,3990.626514081121
132005,3746.588719385794
132006,2408.4891143779314
132007,2072.1200036404534
132008,2608.2014414524865
132009,1066.754968170531
132010,3010.2282431555536
132011,3351.4877234801866
132012,1893.6651667070678
132013,2238.7501609265537
132014,1797.8093140384938
132015,3010.961345253375
132016,5818.751008067168
132017,-1094.8623858307756
132018,1589.1958790471497
132019,6754.675761919307
132020,6423.459376182452
132021,3464.9528068633604
132022,2299.772523034071
132023,1480.3409055872648
132024,3032.908039956257
132025,1510.2595433857757
132026,859.785192095706
